path,matches_test,matches_train
D:\g2\Dataset\ExternalCosmetics\images\900190.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900191.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900192.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900193.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900194.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900195.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900196.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900197.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900198.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900199.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900200.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900201.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900202.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900203.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900204.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900205.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900206.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900207.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900208.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900209.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900210.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900211.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900212.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900213.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900214.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900215.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900216.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900217.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900218.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900219.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900220.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900221.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900222.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900223.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900224.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900225.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900226.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900227.jpg,False,False
