feature_index,importance_mean,importance_std
531,0.00014527892571669643,7.52513065965286e-05
711,0.00014467472701532036,7.300221863668855e-05
1883,0.00014460992170496623,0.00014964098946983735
1258,0.0001440241780364393,0.0002701574152892708
1622,0.00014237156393144546,0.00020247244071170453
1279,0.00014201402097106797,0.00012830575250237213
10,0.00014101482986930702,0.0002412155447915092
223,0.00013714148198742948,0.00012352393513182257
483,0.00013632692866646923,4.01600747019302e-05
726,0.0001349579868205053,0.00015957995850494132
1899,0.00013353519337853947,0.0003298687147661998
1559,0.0001326532587147683,0.0003362397165572476
713,0.00013152893955740985,9.321825087119817e-05
162,0.00013109629877894324,0.00015781641372556725
1064,0.0001294780514337207,0.00011313743808626095
1218,0.00012767960164798697,0.00019940502537008176
1579,0.0001275543158845427,0.00011744611688898847
598,0.0001273488825153518,0.00023224593325683762
1302,0.0001271147558348229,0.00035449783975239854
190,0.00012700643799753997,0.00019571530942976773
1926,0.00012680890058497374,0.0001940344843002638
1909,0.00012584801191442563,7.924310373601702e-05
490,0.00012580825152345987,0.0003509908209992139
834,0.0001250130700487101,0.00015655170056951356
1661,0.00012358670633495772,0.00019215910997913408
1580,0.00012355686016539413,0.00020288099723257024
1447,0.00012336796478554235,0.00022276139619607796
1286,0.00012276644924678892,0.00026161181891094115
633,0.00012273719678959627,0.00023754794371870505
1141,0.0001224068855333882,0.00010977492315383064
400,0.00012192228351697032,0.0002633416287562474
921,0.00012186307548500697,0.0003929151417881982
1658,0.00012091281015862154,0.0001554948941757902
360,0.00012000431412197143,0.00015410877807482977
542,0.00011902301805546966,0.0003091521527776572
155,0.00011883148963633128,0.000370390463833681
188,0.00011877468945681313,0.0002667999353437381
1874,0.00011809993335483437,0.0001906525389700682
451,0.00011746802459737526,0.00011065082747641801
128,0.00011596265392552207,0.0002150194902918279
1855,0.00011436292970093409,0.00033119991045888326
375,0.00011399019980068426,5.360027906971735e-05
184,0.00011386707223121073,0.0002659197361639163
229,0.00011333434573604362,7.401020787716082e-05
15,0.00011328441825560198,0.00018108976788347537
1730,0.00011299474504905538,0.00017460601054629374
1546,0.0001127485591723848,0.000263841706008672
396,0.0001124210127484565,0.00028276467353316876
1507,0.00011215060224815943,0.000234434457990268
2002,0.00011009609167215995,0.00033428184022812977
679,0.00010961857251491625,0.00022967111243059332
1950,0.00010840450476894137,0.00034357909394413117
1418,0.00010840020305608045,7.706104964770371e-05
685,0.00010800562774818112,4.729822513474491e-05
641,0.00010783872850012033,0.00013142603360944801
185,0.0001074443093937727,0.00021785985454195173
1220,0.00010742585664114124,0.00020520561273525134
1406,0.00010690057989973245,0.00020803968606725764
629,0.00010621026095512798,0.00015137248794136062
283,0.00010616121766943154,7.61902165974119e-05
1737,0.00010582806857913074,0.00026878648261006413
165,0.00010547046935839577,0.00016964270202481975
406,0.0001053453572988916,0.0001699740461996949
84,0.00010521906856586494,0.0
466,0.00010521906856586494,0.0
1998,0.00010521906856586494,0.0
1363,0.00010469552189870668,0.0002113752045906893
80,0.00010386430327363749,0.0001527465269625609
1422,0.00010341860550926174,0.00028194186966294297
156,0.00010086017589770735,0.00016735089328035702
654,0.0001007366703478646,0.0002787761157903682
1269,0.00010068301245019784,0.0001375689518561426
1585,0.00010021484020336646,0.0002017873414884442
853,0.00010008766427833937,0.0002325000158717404
39,9.931641630231414e-05,0.00016868837445860646
56,9.825079480721421e-05,0.0003639594208526013
122,9.813782340925559e-05,0.0002693333992756191
1783,9.786362641170387e-05,4.589088955573778e-05
431,9.630385575061517e-05,0.00025548723940377907
1011,9.628080553154839e-05,0.000308290104378148
344,9.59081120331523e-05,0.00013432301467534646
768,9.57053905352584e-05,0.00017390790958732793
395,9.521250116621693e-05,0.0002863712882180561
390,9.497526247226329e-05,0.0003655882804619889
1024,9.485216482355008e-05,0.00020966841674043682
613,9.464275664274047e-05,0.00015130938219109927
1174,9.430615089651984e-05,0.00019216953038288248
1512,9.3778624330354e-05,0.0001925366601299824
1999,9.333889117416061e-05,2.7438436242594786e-05
1840,9.333013753326513e-05,0.0006240024823961658
809,9.276985261598425e-05,0.00022621253566628633
1403,9.238672035061235e-05,0.0002270966908588911
1260,9.218687195641784e-05,0.0003186280533558349
1108,9.134647568975751e-05,0.00022700299847721242
506,9.025108706280094e-05,0.00010840726535523126
623,8.965980696004627e-05,0.0002912196320919792
1210,8.958379065032718e-05,0.00025443478387083103
1890,8.91584632304182e-05,0.0003866551223280729
1731,8.844476374762766e-05,0.0002996563186188092
55,8.680456085970178e-05,0.00019348751374165333
1183,8.658264491093193e-05,0.0002969431557389678
300,8.631381799696636e-05,6.519850021854678e-05
1395,8.622869122563992e-05,0.0003992546731824081
374,8.600934375721514e-05,0.0001833113985545862
58,8.574751004027104e-05,6.290580875970788e-05
650,8.52833959812116e-05,0.0001219979762640293
54,8.376280145701298e-05,0.00040821719980960387
1109,8.357352471544122e-05,0.0001632406084641136
385,8.30757509628216e-05,0.00018513443342266242
218,8.296813707953099e-05,0.0
331,8.283635318764859e-05,0.00026923111399676834
1914,8.159827124940011e-05,0.00020426461158125434
426,8.071807277390541e-05,8.097161264950508e-05
1948,8.040600215362959e-05,0.00038729110876970825
1672,8.033459293108058e-05,0.0001750244840289761
1549,7.970641590346328e-05,0.00034416027084020116
1831,7.960872066639646e-05,0.00038557088512994656
1010,7.921166147786818e-05,0.00016489232267549234
1323,7.919328651420643e-05,0.0004521861219081017
115,7.89143014243987e-05,4.5561193170287864e-05
1338,7.84944784375241e-05,0.0002099877313995767
412,7.776045401254594e-05,0.00020397365328873288
474,7.74437560724095e-05,0.00026914957117485404
416,7.656065698971593e-05,0.00010510899981790724
1887,7.621244687823492e-05,0.00016981295113604615
1312,7.60257425173605e-05,0.0005356226034225492
1894,7.567933077197442e-05,0.00025558510675540173
1535,7.562058218439638e-05,0.0002036779283343584
425,7.554682478383423e-05,0.00016342314969197143
1578,7.548472380564109e-05,0.00012508217549862783
1250,7.481021168898039e-05,0.00031371655604473686
852,7.453524180126014e-05,0.00010465293946099613
34,7.443630730240292e-05,0.00023596262627984747
430,7.385442988640245e-05,2.8107844791483902e-05
203,7.385111239682773e-05,0.00041953631418568184
511,7.334819774902634e-05,2.018818138451536e-05
318,7.322549509933274e-05,0.00012547950784137568
1170,7.297140227882637e-05,0.0001391394551640758
