source,run,arm,target,class,metric,value
model_comparison,C from scratch shared val,C from scratch,usage,,accuracy,0.8901
model_comparison,C from scratch shared val,C from scratch,usage,,weighted_f1,0.8862
model_comparison,A two models shared val,A two models,usage,,macro_f1,0.4044
model_comparison,A two models shared val,A two models,usage,,macro_f1_in_val,0.4622
model_comparison,A two models shared val,A two models,usage,,n_classes,8
model_comparison,A two models shared val,A two models,usage,,n_in_val,7
model_comparison,A two models shared val,A two models,usage,,accuracy,0.8921
model_comparison,A two models shared val,A two models,usage,,weighted_f1,0.8862
model_comparison,C + logit adj + TTA shared val,C + logit adj + TTA,usage,,macro_f1,0.4027
model_comparison,C + logit adj + TTA shared val,C + logit adj + TTA,usage,,macro_f1_in_val,0.4602
model_comparison,C + logit adj + TTA shared val,C + logit adj + TTA,usage,,n_classes,8
model_comparison,C + logit adj + TTA shared val,C + logit adj + TTA,usage,,n_in_val,7
model_comparison,C + logit adj + TTA shared val,C + logit adj + TTA,usage,,accuracy,0.8647
model_comparison,C + logit adj + TTA shared val,C + logit adj + TTA,usage,,weighted_f1,0.8698
model_comparison,1-NN pixels shared val,1-NN pixels,usage,,macro_f1,0.3265
model_comparison,1-NN pixels shared val,1-NN pixels,usage,,macro_f1_in_val,0.3732
model_comparison,1-NN pixels shared val,1-NN pixels,usage,,n_classes,8
model_comparison,1-NN pixels shared val,1-NN pixels,usage,,n_in_val,7
model_comparison,1-NN pixels shared val,1-NN pixels,usage,,accuracy,0.7765
model_comparison,1-NN pixels shared val,1-NN pixels,usage,,weighted_f1,0.7788
model_comparison,majority shared val,majority,usage,,macro_f1,0.108
model_comparison,majority shared val,majority,usage,,macro_f1_in_val,0.1234
model_comparison,majority shared val,majority,usage,,n_classes,8
model_comparison,majority shared val,majority,usage,,n_in_val,7
model_comparison,majority shared val,majority,usage,,accuracy,0.7606
model_comparison,majority shared val,majority,usage,,weighted_f1,0.6572
training_history,A gender 1,,,,loss,0.6543594918417791
training_history,A gender 1,,,,val_gender,0.3308911410311251
training_history,A gender 2,,,,loss,0.4967867931609527
training_history,A gender 2,,,,val_gender,0.240832647587928
training_history,A gender 3,,,,loss,0.4456745066513163
training_history,A gender 3,,,,val_gender,0.4708205823892856
training_history,A gender 4,,,,loss,0.4147996280967944
training_history,A gender 4,,,,val_gender,0.4978301338896396
training_history,A gender 5,,,,loss,0.3907577779365587
training_history,A gender 5,,,,val_gender,0.522445054566933
training_history,A gender 6,,,,loss,0.3730499501939338
training_history,A gender 6,,,,val_gender,0.655056392400773
training_history,A gender 7,,,,loss,0.3558136324546028
training_history,A gender 7,,,,val_gender,0.6832672103295632
training_history,A gender 8,,,,loss,0.3417160516367219
training_history,A gender 8,,,,val_gender,0.6763108366897237
training_history,A gender 9,,,,loss,0.3298693171553356
training_history,A gender 9,,,,val_gender,0.6002512320352171
training_history,A gender 10,,,,loss,0.3138967523319497
training_history,A gender 10,,,,val_gender,0.5104893118403858
training_history,A gender 11,,,,loss,0.2949133254174297
training_history,A gender 11,,,,val_gender,0.6753423383315276
training_history,A gender 12,,,,loss,0.2824445270144007
training_history,A gender 12,,,,val_gender,0.69220905717335
training_history,A gender 13,,,,loss,0.27314789700413
training_history,A gender 13,,,,val_gender,0.7172916349292549
training_history,A gender 14,,,,loss,0.2559120648186071
training_history,A gender 14,,,,val_gender,0.6289724827380736
training_history,A gender 15,,,,loss,0.2430802106470884
training_history,A gender 15,,,,val_gender,0.7376854982137698
training_history,A gender 16,,,,loss,0.232651601656166
training_history,A gender 16,,,,val_gender,0.7127598005284631
training_history,A gender 17,,,,loss,0.2196705255584517
training_history,A gender 17,,,,val_gender,0.7283672412841676
training_history,A gender 18,,,,loss,0.2087264923127329
training_history,A gender 18,,,,val_gender,0.7285963437888897
training_history,A gender 19,,,,loss,0.2047702277940997
training_history,A gender 19,,,,val_gender,0.7373541708611622
training_history,A gender 20,,,,loss,0.201420658194072
training_history,A gender 20,,,,val_gender,0.7439696289716128
training_history,A usage 1,,,,loss,0.6795092886068803
training_history,A usage 1,,,,val_usage,0.2674808648836027
training_history,A usage 2,,,,loss,0.4527695586282763
training_history,A usage 2,,,,val_usage,0.2658643565690712
training_history,A usage 3,,,,loss,0.4053539558845689
training_history,A usage 3,,,,val_usage,0.2467938693783747
training_history,A usage 4,,,,loss,0.3760330212181635
training_history,A usage 4,,,,val_usage,0.279876076402582
training_history,A usage 5,,,,loss,0.36152291750465
training_history,A usage 5,,,,val_usage,0.2840363752364109
training_history,A usage 6,,,,loss,0.3402753339423427
training_history,A usage 6,,,,val_usage,0.3183838208283561
training_history,A usage 7,,,,loss,0.328930470763173
training_history,A usage 7,,,,val_usage,0.3397089117908151
training_history,A usage 8,,,,loss,0.3173397563146157
training_history,A usage 8,,,,val_usage,0.3597005066699468
training_history,A usage 9,,,,loss,0.3042669242612294
training_history,A usage 9,,,,val_usage,0.3909062411309505
training_history,A usage 10,,,,loss,0.288710855998135
training_history,A usage 10,,,,val_usage,0.3825526527971788
training_history,A usage 11,,,,loss,0.2769233040263596
training_history,A usage 11,,,,val_usage,0.3719051242609087
training_history,A usage 12,,,,loss,0.2650261979167887
training_history,A usage 12,,,,val_usage,0.3732229684426295
training_history,A usage 13,,,,loss,0.2526053956672298
training_history,A usage 13,,,,val_usage,0.3795407744625979
training_history,A usage 14,,,,loss,0.2400979226388445
training_history,A usage 14,,,,val_usage,0.3904633277427238
training_history,A usage 15,,,,loss,0.2265849565663787
training_history,A usage 15,,,,val_usage,0.3806744265765137
training_history,A usage 16,,,,loss,0.2168044743897121
training_history,A usage 16,,,,val_usage,0.4041303928034339
training_history,A usage 17,,,,loss,0.2053705191574345
training_history,A usage 17,,,,val_usage,0.4044394410486542
training_history,A usage 18,,,,loss,0.1952635324379553
training_history,A usage 18,,,,val_usage,0.4010412766253847
training_history,A usage 19,,,,loss,0.1917598183806616
training_history,A usage 19,,,,val_usage,0.402500284413719
training_history,A usage 20,,,,loss,0.1864697353313159
training_history,A usage 20,,,,val_usage,0.4030385155446653
training_history,B pair 1,,,,loss,1.378451335951807
